@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 33\nSize of the tree: 65\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

iris,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,396,43,24,19,0,55.813953,44.186047,0,0.265948,0.11195,0.260131,75.820801,96.671181,89.58145,3281.060541,-3191.47909,2.08329,76.303734,-74.220444,27.303237,0.634959,1244.719149,0,0,0,0,1,42,1,1,0,0,0,0.904762,0.55814,0.267822,0.732178,0.44186,0.477639,0.55814,0.51431,0.750216,0.009,0,0.004835,0.000086,21413,26035,4502,'Number of leaves: 29\nSize of the tree: 57\n',57,29,29
iris,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.411371,0.101991,0.25852,68.460927,95.104041,94.833094,9699.872636,-9605.039543,2.155298,220.451651,-218.296353,35.626732,0.809698,1629.874383,0,0,0,0,1,43,1,1,0,0,0,0.965116,0.636364,0.194394,0.805606,0.363636,0.547203,0.636364,0.587783,0.735759,0.009,0,0.005169,0.000087,32310,25974,4563,'Number of leaves: 46\nSize of the tree: 91\n',91,46,46
iris,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,31,13,0,70.454545,29.545455,0,0.505618,0.10097,0.241903,67.775214,88.991139,94.833094,7553.69121,-7458.858116,2.155298,171.6748,-169.519503,30.628415,0.6961,1401.208221,0,0,0,0,1,43,1,1,0,0,0,0.755814,0.704545,0.184384,0.815616,0.295455,0.573302,0.704545,0.63181,0.793431,0.006,0.001,0.005058,0.000085,29746,25974,4563,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
iris,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,24,20,0,54.545455,45.454545,0,0.238095,0.117652,0.292678,78.97299,107.670094,94.833094,15061.973207,-14967.140113,2.155298,342.317573,-340.162275,18.362334,0.417326,840.051724,0,0,0,0,1,43,1,1,0,0,0,0.395349,0.545455,0.281329,0.718671,0.454545,0.44212,0.545455,0.488297,0.626508,0.01,0,0.004926,0.000093,28464,25974,4563,'Number of leaves: 40\nSize of the tree: 79\n',79,40,40
iris,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,22,22,0,50,50,0,0.206557,0.133885,0.297415,89.426663,108.806246,96.453899,16143.977735,-16047.523836,2.192134,366.908585,-364.716451,12.087584,0.274718,553.941967,0,0,0,0,1,42,1,2,0,0,0,0.22619,0.5,0.255665,0.744335,0.5,0.439935,0.5,0.463509,0.526485,0.006,0,0.004858,0.000083,20772,25974,4563,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
iris,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,25,19,0,56.818182,43.181818,0,0.311934,0.110646,0.258147,73.268454,93.53127,97.646046,6498.332429,-6400.686384,2.219228,147.689373,-145.470145,24.842947,0.564612,1140.034604,0,0,0.02381,1,0.97619,41,1,2,0,0,0,0.72619,0.568182,0.217504,0.782496,0.431818,0.462787,0.568182,0.50947,0.768388,0.005,0,0.004781,0.000088,22695,25974,4563,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
iris,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,32,12,0,72.727273,27.272727,0,0.566146,0.094119,0.238557,63.197788,87.793714,93.828208,6476.796243,-6382.968035,2.132459,147.199915,-145.067455,40.008235,0.909278,1828.132576,1,2,0,0,1,42,0,0,1,1,1,1,0.727273,0.155024,0.844976,0.272727,0.65507,0.727273,0.686199,0.793206,0.006,0,0.005031,0.000082,26541,25974,4563,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37
iris,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,25,19,0,56.818182,43.181818,0,0.299832,0.115657,0.275655,77.666378,101.456308,93.755126,8644.253695,-8550.498568,2.130798,196.460311,-194.329513,20.753798,0.471677,948.251781,0,0,0,0,1,43,1,1,0,0,0,0.77907,0.568182,0.271051,0.728949,0.431818,0.529221,0.568182,0.543226,0.65515,0.005,0,0.005099,0.000081,26541,25974,4563,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37
iris,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,23,21,0,52.272727,47.727273,0,0.19442,0.123151,0.297738,82.698603,109.583922,93.755126,8652.742343,-8558.987216,2.130798,196.653235,-194.522437,16.572724,0.376653,757.216338,0,0,0,0,1,43,1,1,0,0,0,0.27907,0.522727,0.293882,0.706118,0.477273,0.424242,0.522727,0.466281,0.641941,0.005,0,0.004686,0.000083,29105,25974,4563,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41
iris,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,31,13,0,70.454545,29.545455,0,0.503041,0.101483,0.232171,68.148128,85.451732,93.755126,3273.239522,-3179.484396,2.130798,74.391807,-72.261009,32.675293,0.74262,1492.951057,0,0,0,0,1,43,1,1,0,0,0,1,0.704545,0.203145,0.796855,0.295455,0.601786,0.704545,0.642308,0.752843,0.005,0,0.004827,0.000072,19490,25974,4563,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
iris,3,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,396,43,24,19,0,55.813953,44.186047,0,0.273132,0.11332,0.27069,76.80835,100.684342,88.719765,5422.381774,-5333.662009,2.06325,126.101902,-124.038651,27.607677,0.642039,1257.397556,0,0,0.047619,2,0.952381,40,1,1,0,0,0,0.904762,0.55814,0.255444,0.744556,0.44186,0.514643,0.55814,0.532338,0.677139,0.006,0,0.005048,0.000078,27823,26035,4502,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39
iris,4,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,25,19,0,56.818182,43.181818,0,0.330128,0.111744,0.273466,74.99465,100.583647,94.975766,9702.097828,-9607.122062,2.15854,220.502223,-218.343683,31.554444,0.717146,1443.782614,0,0,0,0,1,43,1,1,0,0,0,0.360465,0.568182,0.203509,0.796491,0.431818,0.542166,0.568182,0.546423,0.762806,0.005,0,0.004563,0.000085,22695,25974,4563,'Number of leaves: 31\nSize of the tree: 61\n',61,31,31
iris,4,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,25,19,0,56.818182,43.181818,0,0.332801,0.116509,0.276291,78.192797,101.62258,94.975766,9709.278754,-9614.302988,2.15854,220.665426,-218.506886,23.421264,0.532301,1071.646632,0,0,0.046512,2,0.953488,41,1,1,0,0,0,0.372093,0.568182,0.184482,0.815518,0.431818,0.521645,0.568182,0.540909,0.70715,0.015,0,0.004993,0.000092,23336,25974,4563,'Number of leaves: 32\nSize of the tree: 63\n',63,32,32
iris,4,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,27,17,0,61.363636,38.636364,0,0.336879,0.105971,0.259189,71.197954,95.450371,93.575005,9700.667289,-9607.092284,2.126705,220.469711,-218.343006,29.315132,0.666253,1339.096114,0,0,0,0,1,43,1,1,0,0,0,0.918605,0.613636,0.280645,0.719355,0.386364,0.501833,0.613636,0.546537,0.697276,0.004,0,0.00451,0.000079,25259,25974,4563,'Number of leaves: 35\nSize of the tree: 69\n',69,35,35
iris,4,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.393626,0.108387,0.255342,72.772608,93.962057,94.363608,7561.925182,-7467.561573,2.144627,171.861936,-169.717308,29.543153,0.671435,1350.707234,0,0,0,0,1,42,1,2,0,0,0,0.619048,0.636364,0.228801,0.771199,0.363636,0.515993,0.636364,0.568182,0.75937,0.005,0,0.004574,0.000085,24618,25974,4563,'Number of leaves: 34\nSize of the tree: 67\n',67,34,34
iris,4,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.459459,0.105996,0.252033,71.184968,92.770607,93.685537,8628.480419,-8534.794882,2.129217,196.101828,-193.972611,28.638954,0.650885,1308.435761,0.5,1,0.02381,1,0.97619,41,0.5,1,0.5,0.5,0.5,0.625,0.659091,0.15243,0.84757,0.340909,0.579545,0.659091,0.613056,0.76764,0.005,0,0.004645,0.00008,24618,25974,4563,'Number of leaves: 34\nSize of the tree: 67\n',67,34,34
iris,4,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,23,21,0,52.272727,47.727273,0,0.254237,0.118445,0.287179,79.545116,105.707704,93.685537,13993.433968,-13899.748432,2.129217,318.03259,-315.903373,19.083637,0.433719,871.879382,0,0,0.047619,2,0.952381,40,1,2,0,0,0,0.321429,0.522727,0.216352,0.783648,0.477273,0.489948,0.522727,0.503865,0.672967,0.006,0,0.004999,0.000092,35515,25974,4563,'Number of leaves: 51\nSize of the tree: 101\n',101,51,51
iris,4,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.465587,0.099476,0.247831,66.465629,90.700206,95.702745,7554.73853,-7459.035785,2.175062,171.698603,-169.523541,34.128388,0.775645,1562.782017,0,0,0,0,1,43,1,1,0,0,0,0.360465,0.659091,0.160833,0.839167,0.340909,0.620833,0.659091,0.624242,0.747385,0.005,0,0.005161,0.000089,31669,25974,4563,'Number of leaves: 45\nSize of the tree: 89\n',89,45,45
iris,4,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,24,20,0,54.545455,45.454545,0,0.275124,0.113377,0.281527,76.135233,103.617444,93.755126,6501.427243,-6407.672117,2.130798,147.75971,-145.628912,30.94466,0.703288,1413.877535,0,0,0,0,1,43,1,1,0,0,0,1,0.545455,0.269571,0.730429,0.454545,0.467816,0.545455,0.501237,0.739668,0.005,0,0.005148,0.000093,25900,25974,4563,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
iris,4,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,27,17,0,61.363636,38.636364,0,0.363946,0.112032,0.274943,75.23191,101.194167,93.755126,10777.167127,-10683.412001,2.130798,244.935617,-242.804818,23.102767,0.525063,1055.577383,1,1,0.023256,1,0.976744,42,0,0,0.5,1,0.666667,0.988372,0.613636,0.243915,0.756085,0.386364,0.54232,0.613636,0.568765,0.701054,0.005,0,0.004595,0.000086,27182,25974,4563,'Number of leaves: 38\nSize of the tree: 75\n',75,38,38
iris,4,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,396,43,27,16,0,62.790698,37.209302,0,0.406385,0.106223,0.254979,70.894551,93.197792,93.938363,8631.837527,-8537.899164,2.184613,200.740408,-198.555795,28.800813,0.669786,1319.51408,0,0,0,0,1,42,1,1,0,0,0,0.714286,0.627907,0.175133,0.824867,0.372093,0.551521,0.627907,0.58467,0.756746,0.007,0,0.004937,0.000082,25259,26035,4502,'Number of leaves: 35\nSize of the tree: 69\n',69,35,35
