@RELATION iris
@ATTRIBUTE Cena	REAL
@ATTRIBUTE Size REAL
@ATTRIBUTE Place {Stanovanje,Hiša}
@ATTRIBUTE Lokacija {CELJE,KAMNIK,KOPER,KRANJ,LJUBLJANA,MARIBOR,PTUJ,TRBOVLJE,VELENJE}
@DATA
219000,60.00,Stanovanje,LJUBLJANA
100000,31.50,Stanovanje,LJUBLJANA
225000,81.07,Stanovanje,LJUBLJANA
160000,58.00,Stanovanje,LJUBLJANA
137000,56.00,Stanovanje,LJUBLJANA
124000,71.50,Stanovanje,KRANJ
209000,77.05,Stanovanje,LJUBLJANA
100000,57.00,Stanovanje,KAMNIK
142000,59.00,Stanovanje,LJUBLJANA
142000,61.82,Stanovanje,LJUBLJANA
300000,85.00,Stanovanje,LJUBLJANA
64000,68.00,Stanovanje,PTUJ
79900,58.00,Stanovanje,MARIBOR
114000,43.00,Stanovanje,LJUBLJANA
130000,56.00,Stanovanje,LJUBLJANA
392147,84.85,Stanovanje,LJUBLJANA
350000,145.00,Hiša,CELJE
270000,300.00,Hiša,KOPER
450000,303.00,Hiša,LJUBLJANA
350000,197.00,Hiša,LJUBLJANA
150000,120.60,Hiša,MARIBOR
428000,382.00,Hiša,MARIBOR
330000,240.10,Hiša,MARIBOR
250000,223.00,Hiša,LJUBLJANA
320000,187.00,Hiša,PTUJ
748000,150.00,Hiša,LJUBLJANA
420000,450.00,Hiša,KAMNIK
249000,112.00,Hiša,LJUBLJANA
185000,75.00,Hiša,KOPER
425000,231.00,Hiša,LJUBLJANA
660000,350.00,Hiša,LJUBLJANA
358000,178.00,Hiša,MARIBOR
198000,100.00,Hiša,CELJE
137000,74.66,Hiša,MARIBOR
410000,260.00,Hiša,LJUBLJANA
850000,254.00,Hiša,LJUBLJANA
28000,21.00,Hiša,KOPER
315000,180.00,Hiša,KOPER
350000,114.00,Hiša,KOPER
770000,220.00,Hiša,LJUBLJANA
478000,130.00,Hiša,LJUBLJANA
130000,466.00,Hiša,LJUBLJANA
185000,240.00,Hiša,MARIBOR
320000,400.00,Hiša,KAMNIK
150000,200.00,Hiša,LJUBLJANA
134000,130.00,Hiša,MARIBOR
299900,170.00,Hiša,LJUBLJANA
320000,320.00,Hiša,MARIBOR
295000,123.00,Hiša,LJUBLJANA
365000,233.00,Hiša,LJUBLJANA
285000,295.00,Hiša,TRBOVLJE
429459,197.20,Hiša,LJUBLJANA
125000,390.00,Hiša,PTUJ
164900,175.00,Hiša,MARIBOR
300000,90.00,Hiša,LJUBLJANA
297000,108.20,Hiša,LJUBLJANA
495000,280.00,Hiša,LJUBLJANA
465000,160.00,Hiša,LJUBLJANA
182000,220.00,Hiša,KRANJ
